2015-06-17 18:42:24.0480|WARN|thread: 1|StandardUserErrors|Showing user error Failed to create a new commit.
System.ArgumentNullException: Failed Null Check on 'commitModel'
Nazwa parametru: commitModel
   w GitHub.Helpers.Ensure.ArgumentNotNull(Object value, String name)
   w GitHub.ViewModels.CommitViewModel..ctor(ICommitModel commitModel, ICommittedFileForklift committedFileForklift, IAvatarProvider avatarProvider, IInlineTextProvider inlineTextProvider)
   w GitHub.Helpers.CommitCreator.<CreateCommit>b__1(<>f__AnonymousType0`2 x)
   w System.Reactive.Linq.ObservableImpl.Select`2._.OnNext(TSource value)
2015-06-17 18:31:48.7150|INFO|thread:35|AsyncReaderWriterLock|Released concurrent scheduler for operation: 194:GitClient.cs:286
2015-06-17 18:31:48.9910|INFO|thread:35|AsyncReaderWriterLock|Released concurrent scheduler for operation: 196:GitClient.cs:286
2015-06-17 18:31:48.9910|INFO|thread:38|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 197:GitClient.cs:286
2015-06-17 18:31:48.9910|INFO|thread:41|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 198:GitClient.cs:286
2015-06-17 18:31:49.0020|INFO|thread:38|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 199:GitClient.cs:286
2015-06-17 18:31:49.0020|INFO|thread:42|AsyncReaderWriterLock|Released concurrent scheduler for operation: 197:GitClient.cs:286
2015-06-17 18:31:49.0020|INFO|thread:42|AsyncReaderWriterLock|Released concurrent scheduler for operation: 198:GitClient.cs:286
2015-06-17 18:31:49.0020|INFO|thread:38|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 200:GitClient.cs:286
2015-06-17 18:31:49.0020|INFO|thread:42|AsyncReaderWriterLock|Released concurrent scheduler for operation: 199:GitClient.cs:286
2015-06-17 18:31:49.0020|INFO|thread:41|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 201:GitClient.cs:286
2015-06-17 18:31:49.0170|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 201:GitClient.cs:286
2015-06-17 18:31:49.0170|INFO|thread:41|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 202:GitClient.cs:286
2015-06-17 18:31:49.0780|INFO|thread:42|AsyncReaderWriterLock|Released concurrent scheduler for operation: 200:GitClient.cs:286
2015-06-17 18:31:49.0780|INFO|thread:42|AsyncReaderWriterLock|Released concurrent scheduler for operation: 202:GitClient.cs:286
2015-06-17 18:31:49.0780|INFO|thread:38|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 203:GitClient.cs:286
2015-06-17 18:31:49.0960|INFO|thread:36|AsyncReaderWriterLock|Released concurrent scheduler for operation: 203:GitClient.cs:286
2015-06-17 18:31:55.6790|INFO|thread: 1|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Tomek\AndroidStudioProjects\Quiz_wiedzy\app\src\main\java\com\example\tomek\quiz_wiedzy\MainActivity.java', Args: '', Working Directory: 
2015-06-17 18:32:00.8580|INFO|thread: 1|RepositoryViewModel|Refreshing all information for repo - doFetch: False
2015-06-17 18:32:00.8580|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 204:RepositoryModel.cs:588
2015-06-17 18:32:00.8580|INFO|thread:21|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 204:RepositoryModel.cs:588
2015-06-17 18:32:00.8580|ERROR|thread:43|SyncButtonViewModel|Branch was not updated before refresh was called
2015-06-17 18:32:00.8800|INFO|thread:43|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 205:GitClient.cs:309
2015-06-17 18:32:00.8800|INFO|thread:41|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 205:GitClient.cs:309
2015-06-17 18:32:00.8800|INFO|thread:43|AsyncReaderWriterLock|Released concurrent scheduler for operation: 204:RepositoryModel.cs:588
2015-06-17 18:32:00.8870|INFO|thread:35|GitEnvironment|Process set up with this SSH Agent info: 5900:/tmp/ssh-x45UQGGnx2kw/agent.736
